date,country,real_gdp,cpi,unemployment_rate,epu,10_yr_yld,3_mo_yld,oecd_rec,ind_out,comp_consumer_conf,pcar_reg,vix
1934-10-01,USA,,,,,,,,4.957241,,,
1934-11-01,Canada,,5.688701999999999,,,,,,,,,
1934-11-01,USA,,,,,,,,5.010571,,,
1934-12-01,Canada,,5.688701999999999,,,,,,,,,
1934-12-01,USA,,,,,,,,5.330354,,,
1935-01-01,Canada,,5.688701999999999,,,,,,,,,
1935-01-01,USA,,,,,,,,5.756798,,,
1935-02-01,Canada,,5.688701999999999,,,,,,,,,
1935-02-01,USA,,,,,,,,5.863459,,,
1935-03-01,Canada,,5.688701999999999,,,,,,,,,
1935-03-01,USA,,,,,,,,5.836794,,,
1935-04-01,Canada,,5.688701999999999,,,,,,,,,
1935-04-01,USA,,,,,,,,5.730133,,,
1935-05-01,Canada,,5.688701999999999,,,,,,,,,
1935-05-01,USA,,,,,,,,5.730133,,,
1935-06-01,Canada,,5.688701999999999,,,,,,,,,
1935-06-01,USA,,,,,,,,5.810129,,,
1935-07-01,Canada,,5.688701999999999,,,,,,,,,
1935-07-01,USA,,,,,,,,5.810129,,,
1935-08-01,Canada,,5.688701999999999,,,,,,,,,
1935-08-01,USA,,,,,,,,6.023351,,,
1935-09-01,Canada,,5.767711,,,,,,,,,
1935-09-01,USA,,,,,,,,6.183243,,,
1935-10-01,Canada,,5.767711,,,,,,,,,
1935-10-01,USA,,,,,,,,6.3698,,,
1935-11-01,Canada,,5.846721,,,,,,,,,
1935-11-01,USA,,,,,,,,6.503125,,,
1935-12-01,Canada,,5.846721,,,,,,,,,
1935-12-01,USA,,,,,,,,6.583022,,,
1936-01-01,Canada,,5.846721,,,,,,,,,
1936-01-01,USA,,,,,,,,6.47646,,,
1936-02-01,Canada,,5.846721,,,,,,,,,
1936-02-01,USA,,,,,,,,6.316568,,,
1936-03-01,Canada,,5.846721,,,,,,,,,
1936-03-01,USA,,,,,,,,6.396465,,,
